Criterion (scale)	Model	EN median [IQR]	% max EN	FR median [IQR]	% max FR	Mean diff	95% CI	Adj. P
Overall score (0-18)	o3	18.00 [16.00;18.00]	58.9%	18.00 [16.00;18.00]	57.5%	0.08	[-0.12, 0.27]	1
Overall score (0-18)	DeepSeek-R1	16.00 [15.00;18.00]	28.3%	16.00 [15.00;17.00]	20.0%	0.37	[0.10, 0.64]	0.0207
Overall score (0-18)	GPT-4	17.00 [15.00;18.00]	35.6%	16.00 [14.00;17.00]	21.7%	0.49	[0.25, 0.73]	<0.001
Overall score (0-18)	Llama-405B	17.00 [15.00;18.00]	31.1%	16.00 [13.00;17.00]	14.7%	0.91	[0.66, 1.17]	<0.001
Overall score (0-18)	BioMistral	9.00 [6.75;11.00]	0.8%	8.00 [6.00;10.00]	0.0%	0.78	[0.28, 1.28]	0.00611
Final diagnosis (0-3)	o3	3.00 [3.00;3.00]	85.8%	3.00 [3.00;3.00]	86.4%	-0.01	[-0.06, 0.05]	1
Final diagnosis (0-3)	DeepSeek-R1	3.00 [3.00;3.00]	78.1%	3.00 [3.00;3.00]	76.1%	0.02	[-0.05, 0.09]	1
Final diagnosis (0-3)	GPT-4	3.00 [3.00;3.00]	77.8%	3.00 [2.00;3.00]	71.4%	0.06	[-0.02, 0.13]	0.302
Final diagnosis (0-3)	Llama-405B	3.00 [2.00;3.00]	68.1%	3.00 [2.00;3.00]	63.3%	0.11	[0.03, 0.18]	0.0141
Final diagnosis (0-3)	BioMistral	1.00 [1.00;3.00]	26.4%	1.00 [1.00;2.00]	20.6%	0.10	[-0.02, 0.21]	0.252
Internal validity (0-5)	o3	5.00 [5.00;5.00]	81.4%	5.00 [5.00;5.00]	78.1%	0.04	[-0.04, 0.13]	0.849
Internal validity (0-5)	DeepSeek-R1	5.00 [4.00;5.00]	59.2%	5.00 [4.00;5.00]	51.1%	0.15	[0.03, 0.26]	0.03
Internal validity (0-5)	GPT-4	5.00 [4.00;5.00]	57.8%	4.50 [4.00;5.00]	50.0%	0.09	[-0.02, 0.20]	0.263
Internal validity (0-5)	Llama-405B	5.00 [4.00;5.00]	55.0%	4.00 [4.00;5.00]	42.5%	0.26	[0.14, 0.39]	<0.001
Internal validity (0-5)	BioMistral	2.00 [1.00;3.00]	4.2%	2.00 [1.00;2.00]	1.1%	0.19	[0.03, 0.36]	0.054
External validity (0-3)	o3	3.00 [3.00;3.00]	96.7%	3.00 [3.00;3.00]	92.5%	0.06	[0.01, 0.10]	0.0285
External validity (0-3)	DeepSeek-R1	3.00 [3.00;3.00]	85.6%	3.00 [3.00;3.00]	86.1%	0.00	[-0.06, 0.07]	1
External validity (0-3)	GPT-4	3.00 [3.00;3.00]	83.3%	3.00 [3.00;3.00]	82.5%	0.02	[-0.05, 0.09]	1
External validity (0-3)	Llama-405B	3.00 [3.00;3.00]	83.6%	3.00 [2.00;3.00]	71.9%	0.17	[0.09, 0.25]	<0.001
External validity (0-3)	BioMistral	1.00 [1.00;3.00]	34.4%	1.00 [1.00;3.00]	29.4%	0.11	[-0.02, 0.23]	0.245
Differential diagnosis (0-1)	o3	1.00 [1.00;1.00]	95.0%	1.00 [1.00;1.00]	95.3%	0.00	[-0.03, 0.03]	1
Differential diagnosis (0-1)	DeepSeek-R1	1.00 [0.00;1.00]	64.7%	1.00 [0.00;1.00]	56.7%	0.08	[0.02, 0.13]	0.0208
Differential diagnosis (0-1)	GPT-4	1.00 [1.00;1.00]	78.1%	1.00 [0.00;1.00]	65.0%	0.13	[0.07, 0.19]	<0.001
Differential diagnosis (0-1)	Llama-405B	1.00 [1.00;1.00]	81.7%	1.00 [0.00;1.00]	67.5%	0.14	[0.09, 0.20]	<0.001
Differential diagnosis (0-1)	BioMistral	0.00 [0.00;0.00]	13.1%	0.00 [0.00;0.00]	10.3%	0.03	[-0.01, 0.07]	0.492
Logical structure (0-4)	o3	4.00 [4.00;4.00]	75.3%	4.00 [4.00;4.00]	79.7%	-0.08	[-0.18, 0.02]	1
Logical structure (0-4)	DeepSeek-R1	4.00 [3.00;4.00]	65.0%	4.00 [2.00;4.00]	60.8%	0.10	[-0.03, 0.23]	0.339
Logical structure (0-4)	GPT-4	4.00 [3.00;4.00]	71.4%	4.00 [3.00;4.00]	61.9%	0.16	[0.06, 0.26]	0.00518
Logical structure (0-4)	Llama-405B	4.00 [3.00;4.00]	60.6%	4.00 [3.00;4.00]	52.5%	0.17	[0.06, 0.28]	0.00536
Logical structure (0-4)	BioMistral	1.00 [1.00;2.00]	7.2%	1.00 [1.00;1.00]	1.9%	0.21	[0.10, 0.33]	0.00109
Expression (0-2)	o3	2.00 [2.00;2.00]	99.2%	2.00 [2.00;2.00]	93.1%	0.06	[0.04, 0.09]	<0.001
Expression (0-2)	DeepSeek-R1	2.00 [2.00;2.00]	99.2%	2.00 [2.00;2.00]	97.2%	0.02	[0.00, 0.04]	0.115
Expression (0-2)	GPT-4	2.00 [2.00;2.00]	97.5%	2.00 [2.00;2.00]	94.4%	0.03	[0.00, 0.06]	0.0845
Expression (0-2)	Llama-405B	2.00 [2.00;2.00]	99.4%	2.00 [2.00;2.00]	93.6%	0.06	[0.03, 0.08]	<0.001
Expression (0-2)	BioMistral	2.00 [2.00;2.00]	76.1%	2.00 [0.00;2.00]	65.6%	0.14	[0.04, 0.24]	0.0219
