Diagnostic reasoning type	Model	n	EN median [IQR]	% max EN	FR median [IQR]	% max FR	Mean diff	95% CI	Adj. P
Reconnaissance de cas	o3	114	18.00 [16.00;18.00]	54.4%	18.00 [16.00;18.00]	57.9%	0.00	[-0.36, 0.36]	1
Reconnaissance de cas	DeepSeek-R1	114	17.00 [16.00;18.00]	34.2%	16.00 [15.00;17.00]	21.9%	0.20	[-0.26, 0.66]	0.981
Reconnaissance de cas	GPT-4	114	17.00 [15.00;18.00]	37.7%	16.00 [14.00;17.00]	21.9%	0.54	[0.16, 0.93]	0.0146
Reconnaissance de cas	Llama-405B	114	16.00 [15.00;18.00]	36.0%	16.00 [14.00;17.00]	18.4%	0.90	[0.48, 1.33]	<0.001
Reconnaissance de cas	BioMistral	114	9.00 [7.00;12.00]	1.8%	8.00 [7.00;10.00]	0.0%	0.47	[-0.49, 1.44]	0.844
Chaînage avant	o3	110	18.00 [16.00;18.00]	54.5%	18.00 [17.00;18.00]	56.4%	-0.17	[-0.51, 0.16]	1
Chaînage avant	DeepSeek-R1	110	16.00 [16.00;17.00]	20.9%	16.00 [14.00;17.00]	17.3%	0.66	[0.13, 1.19]	0.0373
Chaînage avant	GPT-4	110	17.00 [16.00;18.00]	30.9%	16.50 [14.00;17.00]	16.4%	0.57	[0.10, 1.04]	0.0449
Chaînage avant	Llama-405B	110	16.00 [14.00;17.00]	22.7%	16.00 [13.00;17.00]	10.9%	0.62	[0.13, 1.10]	0.0329
Chaînage avant	BioMistral	110	8.00 [0.00;10.00]	0.0%	7.00 [1.00;9.00]	0.0%	0.63	[-0.35, 1.60]	0.522
Hypothéticodéductif	o3	74	18.00 [16.00;18.00]	60.8%	18.00 [16.25;18.00]	60.8%	0.14	[-0.31, 0.58]	1
Hypothéticodéductif	DeepSeek-R1	74	16.00 [15.00;18.00]	29.7%	16.00 [15.00;17.00]	20.3%	0.24	[-0.30, 0.79]	0.961
Hypothéticodéductif	GPT-4	74	17.00 [15.25;18.00]	35.1%	16.50 [15.00;18.00]	27.0%	0.31	[-0.18, 0.81]	0.553
Hypothéticodéductif	Llama-405B	74	17.00 [15.00;18.00]	36.5%	15.00 [13.25;17.00]	12.2%	1.41	[0.84, 1.97]	<0.001
Hypothéticodéductif	BioMistral	74	10.00 [7.00;12.00]	1.4%	8.00 [7.00;10.00]	0.0%	1.61	[0.70, 2.51]	0.00175
Probabiliste	o3	34	18.00 [17.00;18.00]	70.6%	18.00 [17.00;18.00]	64.7%	0.32	[-0.19, 0.84]	0.561
Probabiliste	DeepSeek-R1	34	16.00 [15.00;18.00]	29.4%	17.00 [16.00;17.00]	23.5%	0.15	[-0.82, 1.11]	1
Probabiliste	GPT-4	34	17.00 [16.00;18.00]	38.2%	16.00 [14.00;17.75]	26.5%	0.85	[-0.05, 1.76]	0.178
Probabiliste	Llama-405B	34	17.00 [15.00;18.00]	35.3%	16.00 [14.25;17.75]	26.5%	0.26	[-0.64, 1.17]	1
Probabiliste	BioMistral	34	9.00 [7.00;11.00]	0.0%	9.00 [7.00;10.00]	0.0%	-0.12	[-1.46, 1.22]	1
Algorithmique	o3	28	18.00 [17.75;18.00]	75.0%	17.00 [15.75;18.00]	42.9%	0.89	[0.28, 1.51]	0.0172
Algorithmique	DeepSeek-R1	28	16.00 [15.00;18.00]	28.6%	16.00 [14.00;17.00]	17.9%	0.46	[-0.48, 1.41]	0.852
Algorithmique	GPT-4	28	17.00 [14.75;18.00]	42.9%	16.00 [15.00;17.00]	21.4%	-0.00	[-0.95, 0.95]	1
Algorithmique	Llama-405B	28	16.00 [15.00;17.25]	25.0%	14.00 [13.00;17.00]	7.1%	1.61	[0.71, 2.50]	0.00262
Algorithmique	BioMistral	28	8.50 [0.00;10.00]	0.0%	7.00 [0.00;9.00]	0.0%	1.50	[-0.27, 3.27]	0.262
