Diagnosis type	Model	n	EN median [IQR]	% max EN	FR median [IQR]	% max FR	Mean diff	95% CI	Adj. P
Etiologique	o3	226	18.00 [17.00;18.00]	62.4%	18.00 [16.00;18.00]	56.6%	0.26	[0.00, 0.51]	0.119
Etiologique	DeepSeek-R1	226	16.00 [15.00;18.00]	29.2%	16.00 [15.00;17.00]	19.5%	0.31	[-0.03, 0.66]	0.194
Etiologique	GPT-4	226	17.00 [15.00;18.00]	38.1%	16.00 [14.00;17.00]	22.6%	0.55	[0.24, 0.86]	0.00129
Etiologique	Llama-405B	226	17.00 [15.00;18.00]	32.3%	16.00 [14.00;17.00]	17.3%	0.87	[0.53, 1.20]	<0.001
Etiologique	BioMistral	226	9.00 [7.00;11.00]	0.4%	8.00 [6.00;9.00]	0.0%	0.91	[0.30, 1.52]	0.00881
Syndromique	o3	108	18.00 [16.00;18.00]	53.7%	18.00 [17.00;18.00]	59.3%	-0.21	[-0.51, 0.09]	1
Syndromique	DeepSeek-R1	108	16.00 [16.00;18.00]	29.6%	16.00 [15.00;17.00]	24.1%	0.44	[-0.04, 0.91]	0.188
Syndromique	GPT-4	108	17.00 [16.00;18.00]	34.3%	16.00 [15.00;17.00]	19.4%	0.51	[0.09, 0.93]	0.0441
Syndromique	Llama-405B	108	17.00 [15.00;18.00]	32.4%	16.00 [13.00;17.00]	11.1%	1.02	[0.57, 1.47]	<0.001
Syndromique	BioMistral	108	8.00 [6.00;11.00]	1.9%	8.00 [5.75;10.00]	0.0%	0.48	[-0.51, 1.47]	0.857
Paraclinique	o3	26	17.50 [16.00;18.00]	50.0%	18.00 [16.25;18.00]	57.7%	-0.31	[-1.10, 0.49]	1
Paraclinique	DeepSeek-R1	26	16.00 [15.00;17.00]	15.4%	15.50 [13.25;16.75]	7.7%	0.54	[-0.50, 1.57]	0.786
Paraclinique	GPT-4	26	16.00 [15.00;17.00]	19.2%	16.50 [14.00;17.00]	23.1%	-0.08	[-1.13, 0.97]	1
Paraclinique	Llama-405B	26	16.00 [13.25;17.00]	15.4%	14.50 [12.00;16.75]	7.7%	0.88	[0.02, 1.75]	0.13
Paraclinique	BioMistral	26	7.00 [0.00;11.50]	0.0%	7.00 [0.00;8.00]	0.0%	0.85	[-0.98, 2.68]	0.927
